cluster,center_lat,size,center_lon,mean_concrete_pct,mean_vegetation_pct,mean_ndvi,mean_ndbi,mean_est_temp,classification
6,28.60250000000003,4,77.28000000000023,87.17500000000001,5.85,-0.04776142656460346,0.5352840689596687,32.59413999251192,🔴 Heat Hotspot
7,28.655000000000037,4,77.28250000000023,72.8,6.65,0.0026620898543166216,0.5126301029764447,31.532706565510626,🔴 Heat Hotspot
9,28.728000000000048,5,77.10200000000013,65.22,19.06,0.026990307649031698,0.39263820188284754,31.402341935503124,🔴 Heat Hotspot
10,28.788333333333394,6,77.28833333333357,52.4,20.416666666666668,0.1402589816254887,0.35814953500153396,30.64320807978441,🟡 Mixed Zone
11,28.78666666666673,3,77.27666666666688,44.06666666666666,12.866666666666667,0.023475411091062378,0.37626637138819136,30.086023930025323,🟡 Mixed Zone
8,28.715000000000046,2,77.33500000000026,43.7,23.200000000000003,0.13142983197669228,0.3708936538311953,29.582732854128743,🟡 Mixed Zone
12,28.819285714285776,14,77.29714285714309,38.214285714285715,45.871428571428574,0.32100025558948414,0.16995963703637082,29.167609328078676,🟡 Mixed Zone
0,28.640264044943855,1780,77.07502808988777,35.464606741573036,42.17601123595506,0.2813027132709304,0.19721010274212117,29.253536533763832,🟡 Mixed Zone
2,28.412,5,77.10600000000014,28.639999999999997,62.67999999999999,0.49314674452230156,0.1055621970948785,28.478215498326232,🟢 Cool Zone
1,28.43727272727273,11,76.99727272727282,26.845454545454547,52.86363636363637,0.3870398313532617,0.09779198953978821,29.05191868257725,🟡 Mixed Zone
3,28.447142857142865,7,77.26857142857166,24.985714285714288,38.214285714285715,0.2257361663471087,0.21316503895173392,28.290483695288,🟡 Mixed Zone
5,28.59000000000003,2,76.98500000000007,23.4,35.900000000000006,0.23035876917151488,0.17655630307119027,28.46675570101047,🟡 Mixed Zone
13,28.858333333333405,18,77.30722222222246,22.555555555555557,52.455555555555556,0.37454708736147685,0.12209132192293162,28.19972701109159,🟡 Mixed Zone
4,28.58600000000003,5,76.87600000000002,19.68,66.88,0.45665783361451695,-0.015180451923880397,28.672352681433427,🟢 Cool Zone
